description_exacte,nb_occurrences,marchand_normalise,categorie_principale,sous_categorie
Achat / DEPANNEUR UNIVERSITAIR,7,Couche-Tard / Dépanneur,Alimentation,Dépanneur
Achat / Exocytose,7,Café Exocytose (ULaval),Restauration,Café & Dessert
Achat / FAIRMONT LE CHATEAU FR,7,Château Frontenac,Magasinage & Loisirs,Magasinage & Loisirs
Achat / MARCHE STE-FOY 2992,7,Épicerie / Marché Local,Alimentation,Supermarché & Épicerie
Achat / MAXI #8901,7,Maxi,Alimentation,Supermarché & Épicerie
Achat / STARBUCKS #26776#,7,Starbucks,Restauration,Café & Dessert
Achat / STARBUCKS COFFEE #2677,7,Starbucks,Restauration,Café & Dessert
Achat / Subway 16970,7,Subway,Restauration,Fast-Food
Achat / TOPLA| BEAUPORT,7,Topla!,Restauration,Fast-Food
Achat / ZONE UNIVERSITE LAVAL,7,Université Laval / Coop Zone,Éducation,Éducation
LES MALTCOMMODES QUEBEC QC,7,Les Maltcommodes,Restauration,Bar & Sortie
MCDONALD'S #7646 Q04 STE-FOY QC,7,McDonald's,Restauration,Fast-Food
PAYPAL *G2A COM LTD 4029357733 HK,7,Jeux Vidéo (PlayStation/Steam),Magasinage & Loisirs,Électronique & Numérique
RTC QUEBEC QC,7,Transport en commun (RTC/Avélo/Traverse),Transport & Auto,Transport en commun
Subway 19262 Quebec QC,7,Subway,Restauration,Fast-Food
TIM HORTONS #3234 QUEBEC QC,7,Tim Hortons,Restauration,Fast-Food
A VELO QUEBEC QC,6,Transport en commun (RTC/Avélo/Traverse),Transport & Auto,Transport en commun
Achat / BRULERIE ROUSSEAU FRAN,6,Brûlerie Rousseau,Restauration,Café & Dessert
Achat / CANAC (46565),6,Canadian Tire / Canac,Magasinage & Loisirs,Magasinage & Loisirs
Achat / COOP ZONE SUCCURSALE V,6,Université Laval / Coop Zone,Éducation,Éducation
Achat / DOLLARAMA #158,6,Dollarama,Magasinage & Loisirs,Grande Surface
Achat / IGA EXTRA 455,6,IGA,Alimentation,Supermarché & Épicerie
Achat / IGA EXTRA VEILL,6,IGA,Alimentation,Supermarché & Épicerie
Achat / JJ GALERIES DE LA CAPI,6,Vêtements (Winners/JJ/Amnesia),Magasinage & Loisirs,Vêtements & Sport
Achat / MYSA SUSHI,6,Mysa Sushi,Restauration,Restaurant
Achat / PUB,6,Pub / Bar,Restauration,Bar & Sortie
Achat / SAVEUR CAMPUS VANDRY,6,Cafétéria / Campus,Restauration,Cafétéria
Achat / TRATTORIA TEVERE,6,Place Tevere,Restauration,Restaurant
BOSTON PIZZA # 605 QUEBEC QC,6,Boston Pizza,Restauration,Restaurant
COSTCO ESSENCE W516 QUEBEC QC,6,Costco Essence,Transport & Auto,Carburant
MALTCOMMODES QUEBEC QC,6,Les Maltcommodes,Restauration,Bar & Sortie
McDonalds 7646 SAINTE-FOY QC,6,McDonald's,Restauration,Fast-Food
PAYPAL *DOORDASH PIZZAS 4029357733 BC,6,DoorDash,Restauration,Livraison
PAYPAL *GOOGLE MICROSOF 4029357733 NS,6,Abonnements Numériques,Magasinage & Loisirs,Électronique & Numérique
PAYPAL *STEAM GAMES 35314369001 GB,6,Jeux Vidéo (PlayStation/Steam),Magasinage & Loisirs,Électronique & Numérique
PAYPAL *TEMU 4029357733 BC,6,Temu,Magasinage & Loisirs,Magasinage & Loisirs
SUSHI KUMI QUEBEC QC,6,Mysa Sushi,Restauration,Restaurant
TIM HORTONS #2454 LEVIS QC,6,Tim Hortons,Restauration,Fast-Food
TIM HORTONS #2625 QUEBEC QC,6,Tim Hortons,Restauration,Fast-Food
TIM HORTONS #4441 LEVIS QC,6,Tim Hortons,Restauration,Fast-Food
UBER CANADA/UBERTRIP TORONTO ON,6,Uber (Course),Transport & Auto,Déplacement / VTC
AU PETIT CHALET BOUVIER QUEBEC QC,5,Au Petit Chalet,Restauration,Restaurant
Achat / #415 SPORTS EXPERTS,5,Sports Experts,Magasinage & Loisirs,Vêtements & Sport
Achat / Begin Beauport,5,Station Bégin Beauport,Transport & Auto,Carburant
Achat / CANADA COMPUTER,5,Canada Computers,Magasinage & Loisirs,Électronique & Numérique
Achat / CANADIAN TIRE #184,5,Canadian Tire / Canac,Magasinage & Loisirs,Magasinage & Loisirs
Achat / CHOCOLATS FAVORIS,5,Chocolats Favoris,Restauration,Café & Dessert
